Date Published,Date Added,Company,Role,Domain / Focus,Location,Priority,Duration,Deadline / Urgency,Compensation,Application Link,Status,Notes / Action Items
2026-08-10,2026-08-16,The Nuclear Company,Summer 2027 Software Engineering Intern,Industrial AI & Operating Systems,"Washington, DC (Full Housing / Relocation)",Low Priority,Short,,Competitive + Housing,https://job-boards.greenhouse.io/thenuclearcompany/jobs/5383236008,No Application,
2026-08-11,2026-08-17,SpaceX,Summer 2027 Silicon Engineering Intern,Embedded & Firmware,"Hawthorne, CA (near UCLA)",High Priority,Short,Rolling (High Urgency),Competitive,https://job-boards.greenhouse.io/spacex/jobs/8621763002?gh_jid=8621763002,No Application,"In-house custom silicon, ASIC verification, on-orbit space hardware"
2026-08-15,2026-08-17,CTGT,Software Engineering Intern (Summer 2027),AI/ML Platform & Systems,"San Francisco, CA",High Priority,Short,Rolling (High Urgency),"$8,000 - $12,000/mo",https://jobs.ashbyhq.com/ctgt/f657c2f5-125e-42b6-a68a-646bbea3d155,No Application,Deterministic AI governance & Policy Engine (Stanford/YC backed)
2026-08-15,2026-08-17,Replit,Software Engineer Intern (Summer 2027),Core Software Engineering,"San Francisco, CA",High Priority,Short,Rolling (High Urgency),Competitive,https://simplify.jobs/p/7e21b76f-fae1-4564-9f64-456d019b46b2/Software-Engineer-Intern,No Application,"Cloud IDE runtime, AI agentic workspace, distributed infrastructure"
2026-08-14,2026-08-17,Circleback,Software Engineering Intern (Summer 2027),Full Stack & Web,"San Francisco, CA",Medium Priority,Short,Rolling (Medium Urgency),"$7,000 - $10,000/mo",https://jobs.ashbyhq.com/circleback/2bb6be67-d1a8-42f7-bb1b-64ee36bf613f,No Application,"AI meeting intelligence, full-stack product features (YC backed)"
2026-08-12,2026-08-17,Quadrillion Labs,Software Engineering Intern (Summer 2027),AI/ML Platform & Systems,"New York, NY",Low Priority,Short,Rolling (Low Urgency),"$4,000 - $6,000/wk",https://jobs.ashbyhq.com/quadrillion-labs/a4acc44c-31ce-41a0-ab44-2500487b4d05,No Application,Agentic ML research platform (Qualia)
2026-08-13,2026-08-17,Tesla,Optimus Embedded Software Intern (Summer 2027),Robotics & Autonomous Systems,"Palo Alto, CA",High Priority,Long,Rolling (High Urgency),$20 - $60/hr,https://www.indeed.com/q-summer-2027-internship-robotics-embedded-systems-jobs.html,No Application,"Humanoid robotics (Optimus), embedded platform drivers & low-level controls"
2026-08-12,2026-08-17,Rivian,Embedded Systems & Automation Intern (Summer 2027),Embedded & Firmware,"Palo Alto, CA",High Priority,Long,Rolling (High Urgency),$45 - $51/hr,https://www.indeed.com/q-summer-2027-internship-robotics-embedded-systems-jobs.html,No Application,"EV vehicle software, automation, and real-time firmware"
2026-08-14,2026-08-17,Proception,Embedded Software Intern (Robotic Hands),Robotics & Autonomous Systems,"Palo Alto, CA",High Priority,Short,Rolling (High Urgency),Competitive,https://www.indeed.com/q-summer-2027-internship-robotics-embedded-systems-jobs.html,No Application,Real-time firmware and control systems for dexterous robotic hands
2026-08-15,2026-08-17,PlusAI,Software Engineer Intern - Autonomous Robotics,Robotics & Autonomous Systems,"Santa Clara, CA",High Priority,Short,Rolling (High Urgency),$19 - $65/hr,https://www.indeed.com/q-summer-2027-internship-robotics-embedded-systems-jobs.html,No Application,"Autonomous vehicle perception, sensor fusion, and trajectory planning"
2026-08-14,2026-08-17,Context AI,Summer 2027 Engineering Intern (AI Agents),AI/ML Platform & Systems,"San Francisco, CA",Medium Priority,Short,Rolling (Medium Urgency),$80k - $120k/yr prorated,"https://www.indeed.com/q-summer-internships-software-engineering-l-san-francisco-bay-area,-ca-jobs.html",No Application,Continuous learning AI agents and intelligence capture
2026-08-13,2026-08-17,Fab2,Automation Software Engineering Intern,Robotics & Autonomous Systems,"San Francisco, CA",High Priority,Short,Rolling (High Urgency),$110k - $132k/yr prorated,https://www.indeed.com/q-Computer-Science-Robotic-Internship-jobs.html,No Application,Industrial automation software and hardware validation testing
2026-08-10,2026-08-17,DV Trading,Software Engineer Intern (Summer 2027),Core Software Engineering,"New York, NY",Low Priority,Short,Rolling (Low Urgency),Competitive,https://job-boards.greenhouse.io/dvtrading/jobs/4719119005,No Application,Low latency trading systems and algorithmic execution tools
2026-08-12,2026-08-17,Human Computer Lab,Controls Engineer Intern (Summer 2027),Robotics & Autonomous Systems,"San Francisco, CA (Hybrid)",High Priority,Short,Rolling (High Urgency),Competitive,https://www.indeed.com/q-summer-2027-internship-robotics-embedded-systems-jobs.html,No Application,Hands-on control systems tuning on physical robotic hardware
2026-08-11,2026-08-17,Oceanus Marine Technologies,Electrical & Embedded Systems Intern,Embedded & Firmware,"El Segundo, CA (near UCLA)",High Priority,Short,Rolling (High Urgency),$38 - $46/hr,https://www.indeed.com/q-summer-2027-internship-robotics-embedded-systems-jobs.html,No Application,"Autonomous maritime robotics, embedded systems & microcontrollers"
2026-08-13,2026-08-17,Verne Robotics,Robotics Engineering Intern (Summer 2027),Robotics & Autonomous Systems,"San Francisco, CA",High Priority,Short,Rolling (High Urgency),"$1,600 - $2,500/wk",https://www.simplyhired.com/search?q=robotics+intern&l=san+francisco+bay+area%2C+ca,No Application,"Mobile robotics, autonomous navigation & electromechanical systems"
2026-08-10,2026-08-17,Dexter,Robotics & Automation Intern (Summer 2027),Robotics & Autonomous Systems,"Remote / Elkhart, IN",High Priority,Short,Rolling (High Urgency),Competitive,https://www.indeed.com/q-robotics-engineering-internship-summer-jobs.html,No Application,"Industrial robotics, automation systems and autonomous processes"
2026-08-14,2026-08-17,Love's Travel Stops Tech Labs,Computer Vision & Automation Intern,Computer Vision,Hybrid Remote,High Priority,Short,Rolling (High Urgency),Competitive,https://www.indeed.com/q-computer-vision-summer-intern-jobs.html,No Application,"Computer vision models, retail industrial automation and video perception"
2026-08-15,2026-08-17,Boeing,"Research Engineering Intern (AI, Computer Vision)",Computer Vision,"Huntington Beach, CA (near LA)",High Priority,Long,Rolling (High Urgency),Competitive,https://www.ziprecruiter.com/Jobs/Ai-Internships-Summer/--in-California/3,No Application,"Computer vision, AI perception and sensor fusion for aerospace"
2026-08-11,2026-08-17,Bosch Group,Powertrain Controls & Embedded SWE Intern,Embedded & Firmware,Hybrid Remote,Medium Priority,Short,Rolling (Medium Urgency),Competitive,https://www.indeed.com/q-summer-2027-internship-robotics-embedded-systems-jobs.html,No Application,"Real-time embedded C/C++, RTOS, and vehicle controls"
2026-08-12,2026-08-17,DMR Technologies,Embedded Systems Engineering Intern,Embedded & Firmware,Remote,Medium Priority,Short,Rolling (Medium Urgency),$35k - $50k/yr prorated,https://www.indeed.com/q-Computer-Science-Robotic-Internship-jobs.html,No Application,Flight controller firmware for advanced UAV platforms
2026-08-14,2026-08-18,Google,Software Engineering Intern (BS),Core Software Engineering,"Mountain View / San Francisco, CA",High Priority,Long,Rolling (High Urgency),$55 - $72/hr,https://careers.google.com/jobs/results/,No Application,"Distributed systems, cloud infrastructure & web scale platforms"
2026-08-15,2026-08-18,Amazon,Software Development Engineer Intern,Core Software Engineering,"Sunnyvale, CA / Seattle, WA",High Priority,Long,Rolling (High Urgency),$50 - $65/hr,https://www.amazon.jobs/content/en/career-programs/university/internships-for-students?country%5B%5D=US,No Application,"AWS cloud infrastructure, distributed microservices"
2026-08-16,2026-08-18,Apple,Undergrad Software Engineer Intern,Embedded & Firmware,"Cupertino, CA",High Priority,Long,Rolling (High Urgency),$55 - $68/hr,https://github.com/vanshb03/Summer2027-Internships,No Application,"CoreOS, embedded firmware, neural engine acceleration"
2026-08-14,2026-08-18,Microsoft,Software Engineer Intern,AI/ML Platforms & Systems,"Mountain View, CA / Redmond, WA",High Priority,Long,Rolling (High Urgency),$50 - $62/hr,https://github.com/speedyapply/2027-AI-College-Jobs,No Application,"Azure distributed platforms, cloud computing & developer infrastructure"
2026-08-15,2026-08-18,Intel,Silicon Hardware Design & Verification Intern,Embedded & Firmware,"Santa Clara / San Jose, CA",High Priority,Long,Rolling (High Urgency),Competitive,https://www.extern.com/post/intel-internship-guide,No Application,"Silicon design tape-outs, edge AI hardware accelerators"
2026-08-16,2026-08-18,Waymo,Autonomous Vehicle Software Intern,Robotics & Autonomous Systems,"Mountain View / San Francisco, CA",High Priority,Long,Rolling (High Urgency),$48 - $85/hr,https://www.extern.com/post/waymo-internship-guide,No Application,"Self-driving perception, sensor fusion & robotaxi motion planning"
2026-08-15,2026-08-18,Zoox,Autonomous Robotaxi Software Intern,Robotics & Autonomous Systems,"Foster City, CA",High Priority,Long,Rolling (High Urgency),Competitive,https://www.extern.com/post/zoox-internship-guide,No Application,"Purpose-built autonomous vehicle software, perception, and fleet intelligence"
2026-08-17,2026-08-18,Figure AI,Humanoid Robotics & AI Intern,Robotics & Autonomous Systems,"Sunnyvale, CA",High Priority,Short,Rolling (High Urgency),$35 - $45/hr,https://www.extern.com/post/figure-ai-internship-guide,No Application,Humanoid robot whole-body controls and real-time reinforcement learning
2026-08-16,2026-08-18,Scale AI,Machine Learning & Infrastructure Intern,AI/ML Platforms & Systems,"San Francisco, CA",High Priority,Short,Rolling (High Urgency),Competitive,https://www.extern.com/post/scale-ai-internship-guide,No Application,"Generative AI evaluation, agentic data engines"
2026-08-15,2026-08-18,Cohere,Machine Learning Systems Intern,AI/ML Platforms & Systems,"San Francisco, CA / Remote",High Priority,Short,Rolling (High Urgency),Competitive,https://jobs.lever.co/cohere,No Application,Large language model infrastructure & distributed training
2026-08-14,2026-08-18,Terranova Robotics,Autonomous Navigation Intern,Robotics & Autonomous Systems,"San Jose, CA",High Priority,Short,Rolling (High Urgency),$40 - $55/hr,https://www.indeed.com/q-robotics-internships-jobs.html,No Application,Autonomous mobile robot navigation & ROS 2 SLAM
2026-08-16,2026-08-18,Baxter Aerospace,Avionics Software Engineer Intern,Embedded & Firmware,"El Segundo, CA (near UCLA)",High Priority,Long,Rolling (High Urgency),Competitive,https://www.indeed.com/q-aerospace-software-internship-jobs.html,No Application,Real-time flight avionics & embedded telemetry
2026-08-15,2026-08-18,Raytheon,Embedded Software Intern,Embedded & Firmware,"El Segundo, CA (near UCLA)",High Priority,Long,Rolling (High Urgency),Competitive,https://jobs.rtx.com/,No Application,Secure embedded operating environments
2026-08-14,2026-08-18,Enphase Energy,Embedded Firmware Intern,Embedded & Firmware,"Fremont, CA",Medium Priority,Short,Rolling (Medium Urgency),$35 - $45/hr,https://enphase.com/careers,No Application,Solar microinverter firmware & power electronics control
2026-08-16,2026-08-18,Hypercubic,Spatial AI & Vision Intern,Computer Vision,"San Francisco, CA",High Priority,Short,Rolling (High Urgency),"$7,000 - $9,000/mo",https://jobs.ashbyhq.com/hypercubic,No Application,3D reconstruction and neural rendering pipelines
2026-08-15,2026-08-18,MATS Research,AI Alignment Research Scholar,AI/ML Platforms & Systems,"Berkeley, CA / Remote",Medium Priority,Short,Rolling (Medium Urgency),"$5,000/mo Stipend",https://www.matsprogram.org/,No Application,Mechanistic interpretability and model evaluation
2026-08-16,2026-08-18,Abundant AI,Full Stack AI Intern,Full Stack & Web,"San Francisco, CA",Medium Priority,Short,Rolling (Medium Urgency),"$6,000 - $8,000/mo",https://jobs.ashbyhq.com/abundant,No Application,Full stack generative workflow applications
2026-08-15,2026-08-18,Naïve AI,Machine Learning Engineer Intern,AI/ML Platforms & Systems,"San Francisco, CA",Medium Priority,Short,Rolling (Medium Urgency),$40 - $50/hr,https://jobs.ashbyhq.com/naive,No Application,Multi-modal inference optimization
2026-08-14,2026-08-18,Optiver,FPGA / Hardware Engineering Intern,Core Software Engineering,"Chicago, IL",Low Priority,Short,Rolling (Low Urgency),$125/hr + housing,https://optiver.com/working-at-optiver/career-opportunities/,No Application,Low-latency FPGA hardware acceleration & trading systems
2026-08-15,2026-08-18,SIG (Susquehanna),Quantitative Software Engineer Intern,Core Software Engineering,"Bala Cynwyd, PA / New York, NY",Low Priority,Long,Rolling (Low Urgency),$110k - $130k prorated,https://careers.sig.com/,No Application,Distributed market data infrastructure & C++ execution engines
2026-08-17,2026-08-19,Cruise (GM AV),Autonomous Driving SWE Intern,Robotics & Autonomous Systems,"San Francisco, CA",High Priority,Long,Rolling (High Urgency),Competitive,https://www.extern.com/post/cruise-internship-guide,No Application,"Safety-critical autonomous vehicle software, motion planning & simulation"
2026-08-18,2026-08-19,Ramp,Software Engineering Intern,Core Software Engineering,"San Francisco, CA / New York, NY",High Priority,Short,Rolling (High Urgency),"$11,700/mo",https://www.intern-list.com/,No Application,Financial automation infrastructure & enterprise payment pipelines
2026-08-17,2026-08-19,Figma,Software Engineer Intern: Developer Tools & Systems,Core Software Engineering,"San Francisco, CA",High Priority,Long,Rolling (High Urgency),Competitive,https://github.com/SimplifyJobs/Summer2027-Internships/blob/dev/README-Off-Season.md,No Application,"Collaborative browser graphics engine, WebAssembly runtime & plugins"
2026-08-18,2026-08-19,DoorDash,Software Engineering Intern,Core Software Engineering,"San Francisco / Sunnyvale, CA / Remote",High Priority,Long,Rolling (High Urgency),Competitive,https://www.extern.com/post/doordash-internship-guide,No Application,"Real-time logistics engine, delivery routing & distributed microservices"
2026-08-17,2026-08-19,Datadog,Software Engineering Intern,Core Software Engineering,"San Francisco, CA / New York, NY / Remote",High Priority,Long,Rolling (High Urgency),Competitive,https://www.extern.com/post/datadog-internship-guide,No Application,Cloud infrastructure observability & distributed telemetry
2026-08-18,2026-08-19,SpaceX,Starlink Software Engineering Intern,Embedded & Firmware,"Hawthorne / Mountain View, CA",High Priority,Short,Rolling (High Urgency),Competitive,https://job-boards.greenhouse.io/spacex/jobs/8621757002,No Application,Satellite constellation routing & ground station network protocols
2026-08-17,2026-08-19,Freeform,Mechanical & Controls Engineering Intern,Robotics & Autonomous Systems,"Hawthorne, CA (near UCLA)",High Priority,Short,Rolling (High Urgency),$30 - $38/hr,"https://www.indeed.com/q-robotics-internships-l-los-angeles,-ca-jobs.html",No Application,3D metal printing workcell automation & sensor fusion
2026-08-18,2026-08-19,Veeam Software,Software Engineering Intern: Policy Engineering,Core Software Engineering,"Los Angeles, CA (near UCLA)",High Priority,Short,Rolling (High Urgency),Competitive,https://github.com/vanshb03/Summer2027-Internships,No Application,"Cloud data management, backup policy automation & distributed storage"
2026-08-17,2026-08-19,RTX (Raytheon),Software Platform Internship,Embedded & Firmware,"El Segundo, CA (near UCLA)",High Priority,Long,Rolling (High Urgency),Competitive,https://www.intern-list.com/,No Application,Avionics platform software & secure embedded operating environments
2026-08-18,2026-08-19,ByteDance / TikTok,GPU/AI Application System Software Engineer Intern,AI/ML Platforms & Systems,"San Jose, CA",High Priority,Long,Rolling (High Urgency),$45 - $60/hr,https://vansh.nyc/intern,No Application,GPU compute kernel optimization & AI workload scheduling
2026-08-17,2026-08-19,Haast Autonomous,Flight Software Intern,Robotics & Autonomous Systems,"San Francisco, CA",High Priority,Short,Rolling (High Urgency),Competitive,https://www.indeed.com/q-robotics-engineering-internship-summer-jobs.html,No Application,UAV flight controls & autonomous aerial perception
2026-08-18,2026-08-19,Atoms,Backend Infrastructure Intern,Core Software Engineering,"San Francisco, CA",High Priority,Short,Rolling (High Urgency),$65/hr,https://job-boards.greenhouse.io/cssmerge/jobs/8687896002,No Application,Scalable physical AI runtime & low-latency cloud backend
2026-08-17,2026-08-19,ByteDance / TikTok,Applied ML & Computer Vision Intern,Computer Vision,"San Jose, CA",High Priority,Long,Rolling (High Urgency),$45 - $60/hr,https://joinbytedance.com,No Application,Large-scale vision transformer training & multimodal inference
2026-08-18,2026-08-19,Anduril Industries,Lattice OS Software Intern,Robotics & Autonomous Systems,"Costa Mesa, CA",High Priority,Short,Rolling (High Urgency),Competitive + Housing,https://job-boards.greenhouse.io/andurilindustries,No Application,Autonomous command and control software (Lattice OS)
2026-08-17,2026-08-19,Duolingo,Software Engineer Intern,Core Software Engineering,"Pittsburgh, PA / New York, NY",Medium Priority,Short,Rolling (Medium Urgency),$55 - $65/hr,https://careers.duolingo.com/,No Application,Gamified learning backend & interactive mobile architecture
2026-08-18,2026-08-19,The Nuclear Company,Power Systems SWE Intern,Embedded & Firmware,"Washington, DC (Relocation)",Low Priority,Short,Rolling (Low Urgency),Competitive + Housing,https://job-boards.greenhouse.io/thenuclearcompany,No Application,Clean nuclear energy operating software & sensor telemetry
2026-08-17,2026-08-19,Copart,AI Platform Engineering Intern,AI/ML Platforms & Systems,"Dallas, TX / Remote",Low Priority,Long,Rolling (Low Urgency),$35 - $45/hr,https://www.copart.com/careers,No Application,Enterprise AI inference platforms & vehicle valuation models
2026-08-18,2026-08-19,CTC (Chicago Trading Company),Quantitative SWE Intern,Core Software Engineering,"Chicago, IL",Low Priority,Short,Rolling (Low Urgency),$100/hr + housing,https://chicagotrading.com/careers/,No Application,High-frequency trading market connectivity & algorithmic execution
2026-08-17,2026-08-19,NSA,Computer Science Student Intern,Core Software Engineering,"Fort Meade, MD",Low Priority,Long,Rolling (Low Urgency),$25 - $35/hr,https://www.intelligencecareers.gov/nsa,No Application,High-performance computing & cryptanalysis systems
2026-08-18,2026-08-19,JPMorgan Chase,Software Engineer Intern (Summer 2027),Core Software Engineering,"New York, NY / San Francisco, CA",Medium Priority,Long,Rolling (Medium Urgency),$50 - $60/hr,https://careers.jpmorgan.com/,No Application,Enterprise financial platforms & cloud microservices
2026-08-16,2026-08-20,Great Plains Manufacturing,Engineering & Automation Intern,Embedded & Firmware,"Salina, KS / Hybrid",Medium Priority,Short,Rolling,Competitive,https://www.greatplainsmfg.com/careers,Pending,Applied directly via ADP on August 16 (Detected from email confirmation)
2026-08-18,2026-08-20,Astranis,CAD & Space Hardware Engineer Intern (Summer 2027),Embedded & Firmware,"San Francisco, CA",High Priority,Short,Rolling (High Urgency),Competitive,https://job-boards.greenhouse.io/astranis?keyword=internships,No Application,"Next-gen geostationary satellite CAD, mechanical-electrical integration, orbital communications hardware"
2026-08-17,2026-08-20,PDT Partners,Summer 2027 Software Engineering Intern,Core Software Engineering,"New York, NY",Low Priority,Short,Rolling (Low Urgency),"$180,000 prorated ($86.50/hr)",https://job-boards.greenhouse.io/pdtpartners/jobs/8077685,No Application,Low-latency C++/Python distributed trading systems and data infrastructure
2026-08-19,2026-08-20,SpaceX,Summer 2027 Engineering Internship/Co-op (Controls & Avionics),Robotics & Autonomous Systems,"Hawthorne, CA (near UCLA)",High Priority,Short,Rolling (High Urgency),Competitive + Housing Support,https://job-boards.greenhouse.io/spacex/jobs/8621740002,No Application,"Autonomous test stand controls, electromechanical hardware integration, flight vehicle avionics"
2026-08-18,2026-08-20,Beyond Reach Labs,Mechanical & Robotics Systems Engineer Intern (Summer 2027),Robotics & Autonomous Systems,"New York, NY (Brooklyn)",High Priority,Short,Rolling (High Urgency),Competitive,https://jobs.ashbyhq.com/beyondreachlabs/3ca9915e-b63f-4b26-bc20-cc8ae6d14d08,No Application,"Deployable space structures, kinematic actuators, robotic deployment mechanisms"
2026-08-16,2026-08-20,Netsmart,Software Engineer Intern (Summer 2027 Internship),Core Software Engineering,"Overland Park, KS / Hybrid",Medium Priority,Long,Rolling (Medium Urgency),$28 - $36/hr,https://ntst.wd1.myworkdayjobs.com/Careers/job/Software-Engineer-Intern--Summer-2027-Internship-_R015667,No Application,"Healthcare cloud architecture, microservices, and analytics platform tooling"
2026-08-17,2026-08-20,Motorola Solutions,Android Platform Software Engineering Intern (Summer 2027),Embedded & Firmware,"Plantation, FL / Schaumburg, IL",Medium Priority,Long,Rolling (Medium Urgency),$32 - $42/hr,https://motorolasolutions.wd5.myworkdayjobs.com/en-US/Careers/job/Android-Platform-Software-Engineering-Intern---Summer-2027_R67362-1,No Application,"Mission-critical device OS, low-level Android HAL drivers, embedded platform software"
2026-08-15,2026-08-20,Boeing,Information Digital Technology & Security Intern (Summer 2027),Core Software Engineering,"El Segundo, CA (near UCLA)",High Priority,Long,Rolling (High Urgency),Competitive,https://boeing.wd1.myworkdayjobs.com/en-US/EXTERNAL_CAREERS/job/Boeing-Summer-2027-Internship-Program--Paid----Information-Digital-Technology---Security--IDT-S-_JR2026520791-1,No Application,"Secure communications architecture, network telemetry & defense computing"
2026-08-19,2026-08-20,GE Vernova,Software & Controls Engineering Intern (Summer 2027),Embedded & Firmware,"Schenectady, NY / Atlanta, GA / Remote",Medium Priority,Long,Rolling (Medium Urgency),$30 - $40/hr,https://gevernova.wd5.myworkdayjobs.com/vernova_externalsite/job/remote/ge-vernova-commercial-internship---us---summer-2027-1_r5050686-2,No Application,"Power generation automation, real-time turbine controls & industrial firmware"
2026-08-18,2026-08-20,Chevron,Information Technology & Software Engineer Intern (Summer 2027),Core Software Engineering,"San Ramon, CA (Bay Area) / Houston, TX",Medium Priority,Long,Rolling (Medium Urgency),$24 - $38/hr,https://chevron.wd5.myworkdayjobs.com/en-US/University/job/XMLNAME-2026-2027-Information-Technology---Software-Engineer---Intern_R000072398-1,No Application,"Cloud platforms, distributed data engineering & industrial IoT systems"
2026-08-17,2026-08-20,HP Inc.,Enterprise Operations Software Engineering Intern (Summer 2027),Core Software Engineering,"Palo Alto, CA (Bay Area)",High Priority,Long,Rolling (High Urgency),Competitive,https://hp.wd5.myworkdayjobs.com/en-US/ExternalCareerSite/job/Enterprise-Operations-Software-Internship_3167271-2,No Application,"Distributed systems, embedded printing architectures & cloud telemetry"
2026-08-16,2026-08-20,Autodesk,Software Engineering Intern (Summer 2027),Core Software Engineering,"San Francisco, CA",High Priority,Long,Rolling (High Urgency),Competitive,https://autodesk.wd1.myworkdayjobs.com/en-US/uni/job/Software-Engineering-Intern-Summer-2027_26WD100046-3,No Application,"3D geometric modeling kernel, cloud rendering & CAD software infrastructure"
2026-08-18,2026-08-20,Humana,Technology & Software Engineering Intern (Summer 2027),Core Software Engineering,"Louisville, KY / Hybrid Remote",Low Priority,Long,Rolling (Low Urgency),$28 - $35/hr,https://humana.wd5.myworkdayjobs.com/humana_external_career_site/job/Louisville-KY/Humana-Technology-Internship---Summer-2027_R-424692-1,No Application,"Distributed microservices, enterprise health data platforms & automation"
2026-08-17,2026-08-20,Libra Group,Social & Technology Innovation Intern (Summer 2027),Full Stack & Web,"New York, NY / Washington, DC",Low Priority,Short,Fixed (2026-10-14),Paid (Stipend + Housing),https://job-boards.greenhouse.io/thelibragroup/jobs/8450925002,No Application,Full stack platform tools and digital initiative infrastructure
2026-08-18,2026-08-20,General Dynamics Information Technology (GDIT),Summer 2027 Software Developer Internship,Core Software Engineering,"Falls Church, VA / Remote",Low Priority,Long,Rolling (Low Urgency),Competitive,https://gdit.wd5.myworkdayjobs.com/en-US/External_Career_Site/job/Summer-2027-Software-Developer-Internship_RQ225450-1,No Application,"Mission-critical cloud development, secure API architectures & microservices"
